region,district,value,month,indicator
Lower Shabelle,Sablaale,0.47,2016-08-01,cdi
Lower Shabelle,Wanla Weyn,0.64,2016-08-01,cdi
Bay,Baydhaba,0.65,2016-08-01,cdi
Bay,Buur Hakaba,0.69,2016-08-01,cdi
Bay,Diinsoor,0.5,2016-08-01,cdi
Bay,Qansax Dheere,0.64,2016-08-01,cdi
Bakool,Xudur,0.49,2016-08-01,cdi
Bakool,Ceel Barde,0.52,2016-08-01,cdi
Bakool,Tayeeglow,0.52,2016-08-01,cdi
Bakool,Waajid,0.68,2016-08-01,cdi
Bakool,Rab Dhuure,0.66,2016-08-01,cdi
Lower Shabelle,Marka,0.55,2016-09-01,cdi
Lower Shabelle,Afgooye,0.63,2016-09-01,cdi
Lower Shabelle,Baraawe,0.45,2016-09-01,cdi
Lower Shabelle,Kurtunwaarey,0.49,2016-09-01,cdi
Lower Shabelle,Qoryooley,0.58,2016-09-01,cdi
Lower Shabelle,Sablaale,0.46,2016-09-01,cdi
Lower Shabelle,Wanla Weyn,0.6,2016-09-01,cdi
Bay,Baydhaba,0.66,2016-09-01,cdi
Bay,Buur Hakaba,0.52,2016-09-01,cdi
Bay,Diinsoor,0.5,2016-09-01,cdi
Bay,Qansax Dheere,0.6,2016-09-01,cdi
Bakool,Xudur,0.48,2016-09-01,cdi
Bakool,Ceel Barde,0.52,2016-09-01,cdi
Bakool,Tayeeglow,0.52,2016-09-01,cdi
Bakool,Waajid,0.65,2016-09-01,cdi
Bakool,Rab Dhuure,0.64,2016-09-01,cdi
Lower Shabelle,Marka,0.48,2016-10-01,cdi
Lower Shabelle,Afgooye,0.47,2016-10-01,cdi
Lower Shabelle,Baraawe,0.29,2016-10-01,cdi
Lower Shabelle,Kurtunwaarey,0.32,2016-10-01,cdi
Lower Shabelle,Qoryooley,0.35,2016-10-01,cdi
Lower Shabelle,Sablaale,0.28,2016-10-01,cdi
Lower Shabelle,Wanla Weyn,0.38,2016-10-01,cdi
Bay,Baydhaba,0.4,2016-10-01,cdi
Bay,Buur Hakaba,0.3,2016-10-01,cdi
Bay,Diinsoor,0.28,2016-10-01,cdi
Bay,Qansax Dheere,0.24,2016-10-01,cdi
Bakool,Xudur,0.38,2016-10-01,cdi
Bakool,Ceel Barde,0.41,2016-10-01,cdi
Bakool,Tayeeglow,0.4,2016-10-01,cdi
Bakool,Waajid,0.43,2016-10-01,cdi
Bakool,Rab Dhuure,0.44,2016-10-01,cdi
Lower Shabelle,Marka,0.49,2016-11-01,cdi
Lower Shabelle,Afgooye,0.35,2016-11-01,cdi
Lower Shabelle,Baraawe,0.45,2016-11-01,cdi
Lower Shabelle,Kurtunwaarey,0.34,2016-11-01,cdi
Lower Shabelle,Qoryooley,0.34,2016-11-01,cdi
Lower Shabelle,Sablaale,0.34,2016-11-01,cdi
Lower Shabelle,Wanla Weyn,0.29,2016-11-01,cdi
Bay,Baydhaba,0.34,2016-11-01,cdi
Bay,Buur Hakaba,0.3,2016-11-01,cdi
Bay,Diinsoor,0.33,2016-11-01,cdi
Bay,Qansax Dheere,0.29,2016-11-01,cdi
Bakool,Xudur,0.32,2016-11-01,cdi
Bakool,Ceel Barde,0.29,2016-11-01,cdi
Bakool,Tayeeglow,0.3,2016-11-01,cdi
Bakool,Waajid,0.34,2016-11-01,cdi
Bakool,Rab Dhuure,0.35,2016-11-01,cdi
Lower Shabelle,Marka,0.44,2016-12-01,cdi
Lower Shabelle,Afgooye,0.25,2016-12-01,cdi
Lower Shabelle,Baraawe,0.59,2016-12-01,cdi
Lower Shabelle,Kurtunwaarey,0.31,2016-12-01,cdi
Lower Shabelle,Qoryooley,0.28,2016-12-01,cdi
Lower Shabelle,Sablaale,0.44,2016-12-01,cdi
Lower Shabelle,Wanla Weyn,0.27,2016-12-01,cdi
Bay,Baydhaba,0.26,2016-12-01,cdi
Bay,Buur Hakaba,0.27,2016-12-01,cdi
Bay,Diinsoor,0.33,2016-12-01,cdi
Bay,Qansax Dheere,0.29,2016-12-01,cdi
Bakool,Xudur,0.27,2016-12-01,cdi
Bakool,Ceel Barde,0.23,2016-12-01,cdi
Bakool,Tayeeglow,0.23,2016-12-01,cdi
Bakool,Waajid,0.29,2016-12-01,cdi
Bakool,Rab Dhuure,0.37,2016-12-01,cdi
Lower Shabelle,Marka,0.48,2017-01-01,cdi
Lower Shabelle,Afgooye,0.27,2017-01-01,cdi
Lower Shabelle,Baraawe,0.71,2017-01-01,cdi
Lower Shabelle,Kurtunwaarey,0.35,2017-01-01,cdi
Lower Shabelle,Qoryooley,0.31,2017-01-01,cdi
Lower Shabelle,Sablaale,0.57,2017-01-01,cdi
Lower Shabelle,Wanla Weyn,0.29,2017-01-01,cdi
Bay,Baydhaba,0.27,2017-01-01,cdi
Bay,Buur Hakaba,0.28,2017-01-01,cdi
Bay,Diinsoor,0.36,2017-01-01,cdi
Bay,Qansax Dheere,0.3,2017-01-01,cdi
Bakool,Xudur,0.28,2017-01-01,cdi
Bakool,Ceel Barde,0.24,2017-01-01,cdi
Bakool,Tayeeglow,0.24,2017-01-01,cdi
Bakool,Waajid,0.31,2017-01-01,cdi
Bakool,Rab Dhuure,0.45,2017-01-01,cdi
Lower Shabelle,Marka,0.5,2017-02-01,cdi
Lower Shabelle,Afgooye,0.38,2017-02-01,cdi
Lower Shabelle,Baraawe,0.78,2017-02-01,cdi
Lower Shabelle,Kurtunwaarey,0.42,2017-02-01,cdi
Lower Shabelle,Qoryooley,0.35,2017-02-01,cdi
Lower Shabelle,Sablaale,0.62,2017-02-01,cdi
Lower Shabelle,Wanla Weyn,0.39,2017-02-01,cdi
Bay,Baydhaba,0.29,2017-02-01,cdi
Bay,Buur Hakaba,0.32,2017-02-01,cdi
Bay,Diinsoor,0.39,2017-02-01,cdi
Bay,Qansax Dheere,0.33,2017-02-01,cdi
Bakool,Xudur,0.31,2017-02-01,cdi
Bakool,Ceel Barde,0.27,2017-02-01,cdi
Bakool,Tayeeglow,0.27,2017-02-01,cdi
Bakool,Waajid,0.4,2017-02-01,cdi
Bakool,Rab Dhuure,0.44,2017-02-01,cdi
Lower Shabelle,Marka,0.44,2017-03-01,cdi
Lower Shabelle,Afgooye,0.43,2017-03-01,cdi
Lower Shabelle,Baraawe,0.65,2017-03-01,cdi
Lower Shabelle,Kurtunwaarey,0.42,2017-03-01,cdi
Lower Shabelle,Qoryooley,0.34,2017-03-01,cdi
Lower Shabelle,Sablaale,0.54,2017-03-01,cdi
Lower Shabelle,Wanla Weyn,0.39,2017-03-01,cdi
Bay,Baydhaba,0.31,2017-03-01,cdi
Bay,Buur Hakaba,0.32,2017-03-01,cdi
Bay,Diinsoor,0.4,2017-03-01,cdi
Bay,Qansax Dheere,0.34,2017-03-01,cdi
Bakool,Xudur,0.32,2017-03-01,cdi
Bakool,Ceel Barde,0.27,2017-03-01,cdi
Bakool,Tayeeglow,0.29,2017-03-01,cdi
Bakool,Waajid,0.46,2017-03-01,cdi
Bakool,Rab Dhuure,0.36,2017-03-01,cdi
Lower Shabelle,Marka,0.58,2017-04-01,cdi
Lower Shabelle,Afgooye,0.57,2017-04-01,cdi
Lower Shabelle,Baraawe,0.74,2017-04-01,cdi
Lower Shabelle,Kurtunwaarey,0.57,2017-04-01,cdi
Lower Shabelle,Qoryooley,0.51,2017-04-01,cdi
Lower Shabelle,Sablaale,0.67,2017-04-01,cdi
Lower Shabelle,Wanla Weyn,0.48,2017-04-01,cdi
Bay,Baydhaba,0.47,2017-04-01,cdi
Bay,Buur Hakaba,0.5,2017-04-01,cdi
Bay,Diinsoor,0.53,2017-04-01,cdi
Bay,Qansax Dheere,0.49,2017-04-01,cdi
Bakool,Xudur,0.38,2017-04-01,cdi
Bakool,Ceel Barde,0.29,2017-04-01,cdi
Bakool,Tayeeglow,0.38,2017-04-01,cdi
Bakool,Waajid,0.46,2017-04-01,cdi
Bakool,Rab Dhuure,0.34,2017-04-01,cdi
Lower Shabelle,Marka,0.53,2017-05-01,cdi
Lower Shabelle,Afgooye,0.47,2017-05-01,cdi
Lower Shabelle,Baraawe,0.61,2017-05-01,cdi
Lower Shabelle,Kurtunwaarey,0.53,2017-05-01,cdi
Lower Shabelle,Qoryooley,0.5,2017-05-01,cdi
Lower Shabelle,Sablaale,0.56,2017-05-01,cdi
Lower Shabelle,Wanla Weyn,0.49,2017-05-01,cdi
Bay,Baydhaba,0.48,2017-05-01,cdi
Bay,Buur Hakaba,0.49,2017-05-01,cdi
Bay,Diinsoor,0.5,2017-05-01,cdi
Bay,Qansax Dheere,0.47,2017-05-01,cdi
Bakool,Xudur,0.43,2017-05-01,cdi
Bakool,Ceel Barde,0.36,2017-05-01,cdi
Bakool,Tayeeglow,0.43,2017-05-01,cdi
Bakool,Waajid,0.45,2017-05-01,cdi
Bakool,Rab Dhuure,0.38,2017-05-01,cdi
Lower Shabelle,Marka,0.49,2017-06-01,cdi
Lower Shabelle,Afgooye,0.47,2017-06-01,cdi
Lower Shabelle,Baraawe,0.57,2017-06-01,cdi
Lower Shabelle,Kurtunwaarey,0.51,2017-06-01,cdi
Lower Shabelle,Qoryooley,0.49,2017-06-01,cdi
Lower Shabelle,Sablaale,0.53,2017-06-01,cdi
Lower Shabelle,Wanla Weyn,0.5,2017-06-01,cdi
Bay,Baydhaba,0.55,2017-06-01,cdi
Bay,Buur Hakaba,0.5,2017-06-01,cdi
Bay,Diinsoor,0.54,2017-06-01,cdi
Bay,Qansax Dheere,0.52,2017-06-01,cdi
Bakool,Xudur,0.43,2017-06-01,cdi
Bakool,Ceel Barde,0.37,2017-06-01,cdi
Bakool,Tayeeglow,0.43,2017-06-01,cdi
Bakool,Waajid,0.45,2017-06-01,cdi
Bakool,Rab Dhuure,0.42,2017-06-01,cdi
Lower Shabelle,Marka,0.48,2017-07-01,cdi
Lower Shabelle,Afgooye,0.46,2017-07-01,cdi
Lower Shabelle,Baraawe,0.55,2017-07-01,cdi
Lower Shabelle,Kurtunwaarey,0.5,2017-07-01,cdi
Lower Shabelle,Qoryooley,0.47,2017-07-01,cdi
