,date,forecast_latitude,forecast_longitude,temperature_2m,precipitation_probability,precipitation,region,district,district_latitude,district_longitude
122,2024-11-17 23:00:00+00:00,4.75,43.25,24.789,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
123,2024-11-18 00:00:00+00:00,4.75,43.25,24.389,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
124,2024-11-18 01:00:00+00:00,4.75,43.25,24.039,0.0,0.2,Bakool,Ceel Barde,4.6947431,43.2434254
125,2024-11-18 02:00:00+00:00,4.75,43.25,23.789,1.0,0.2,Bakool,Ceel Barde,4.6947431,43.2434254
126,2024-11-18 03:00:00+00:00,4.75,43.25,23.889,2.0,0.2,Bakool,Ceel Barde,4.6947431,43.2434254
127,2024-11-18 04:00:00+00:00,4.75,43.25,24.639,2.0,0.9,Bakool,Ceel Barde,4.6947431,43.2434254
128,2024-11-18 05:00:00+00:00,4.75,43.25,25.739,3.0,0.9,Bakool,Ceel Barde,4.6947431,43.2434254
129,2024-11-18 06:00:00+00:00,4.75,43.25,26.539,4.0,0.9,Bakool,Ceel Barde,4.6947431,43.2434254
130,2024-11-18 07:00:00+00:00,4.75,43.25,29.389,5.0,0.1,Bakool,Ceel Barde,4.6947431,43.2434254
131,2024-11-18 08:00:00+00:00,4.75,43.25,30.539,6.0,0.1,Bakool,Ceel Barde,4.6947431,43.2434254
132,2024-11-18 09:00:00+00:00,4.75,43.25,31.489,7.0,0.1,Bakool,Ceel Barde,4.6947431,43.2434254
133,2024-11-18 10:00:00+00:00,4.75,43.25,32.339,7.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
134,2024-11-18 11:00:00+00:00,4.75,43.25,32.989002,8.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
135,2024-11-18 12:00:00+00:00,4.75,43.25,33.189003,8.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
136,2024-11-18 13:00:00+00:00,4.75,43.25,32.639,8.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
137,2024-11-18 14:00:00+00:00,4.75,43.25,31.639,8.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
138,2024-11-18 15:00:00+00:00,4.75,43.25,30.639,8.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
139,2024-11-18 16:00:00+00:00,4.75,43.25,29.739,7.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
140,2024-11-18 17:00:00+00:00,4.75,43.25,28.889,7.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
141,2024-11-18 18:00:00+00:00,4.75,43.25,28.039,6.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
142,2024-11-18 19:00:00+00:00,4.75,43.25,27.289,6.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
143,2024-11-18 20:00:00+00:00,4.75,43.25,26.588999,5.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
144,2024-11-18 21:00:00+00:00,4.75,43.25,25.939,5.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
145,2024-11-18 22:00:00+00:00,4.75,43.25,25.289,5.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
146,2024-11-18 23:00:00+00:00,4.75,43.25,24.689,5.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
147,2024-11-19 00:00:00+00:00,4.75,43.25,24.239,5.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
148,2024-11-19 01:00:00+00:00,4.75,43.25,23.838999,5.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
149,2024-11-19 02:00:00+00:00,4.75,43.25,23.588999,6.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
150,2024-11-19 03:00:00+00:00,4.75,43.25,23.838999,7.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
151,2024-11-19 04:00:00+00:00,4.75,43.25,24.789,8.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
152,2024-11-19 05:00:00+00:00,4.75,43.25,26.239,9.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
153,2024-11-19 06:00:00+00:00,4.75,43.25,27.838999,11.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
154,2024-11-19 07:00:00+00:00,4.75,43.25,29.588999,12.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
155,2024-11-19 08:00:00+00:00,4.75,43.25,31.489,13.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
156,2024-11-19 09:00:00+00:00,4.75,43.25,32.939003,14.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
157,2024-11-19 10:00:00+00:00,4.75,43.25,33.789,14.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
158,2024-11-19 11:00:00+00:00,4.75,43.25,34.239002,15.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
159,2024-11-19 12:00:00+00:00,4.75,43.25,34.289,15.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
160,2024-11-19 13:00:00+00:00,4.75,43.25,33.839,15.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
161,2024-11-19 14:00:00+00:00,4.75,43.25,33.039,14.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
162,2024-11-19 15:00:00+00:00,4.75,43.25,31.989,13.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
163,2024-11-19 16:00:00+00:00,4.75,43.25,30.689,12.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
164,2024-11-19 17:00:00+00:00,4.75,43.25,29.189,11.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
165,2024-11-19 18:00:00+00:00,4.75,43.25,27.889,9.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
166,2024-11-19 19:00:00+00:00,4.75,43.25,26.889,8.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
167,2024-11-19 20:00:00+00:00,4.75,43.25,26.039,7.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
168,2024-11-12 21:00:00+00:00,4.375,43.125,25.013,18.0,0.0,Bakool,Rab Dhuure,4.3457412,43.1512379
169,2024-11-12 22:00:00+00:00,4.375,43.125,24.963001,15.0,0.0,Bakool,Rab Dhuure,4.3457412,43.1512379
