district,long_term_monthly_mean,month,region,threshold,value,year
Qoryooley,55.762708333333336,11,Lower Shabelle,Normal,140.782,2023
Qoryooley,11.00325,12,Lower Shabelle,Alarm,2.76,2023
Sablaale,0.8073333333333333,01,Lower Shabelle,Normal,1.999,2023
Sablaale,0.9485,02,Lower Shabelle,Normal,0.939,2023
Sablaale,11.212125,03,Lower Shabelle,Normal,12.587,2023
Sablaale,128.811,04,Lower Shabelle,Normal,253.471,2023
Sablaale,118.52583333333334,05,Lower Shabelle,Alert,51.343,2023
Sablaale,50.698791666666665,06,Lower Shabelle,Alert,38.791,2023
Sablaale,41.74220833333333,07,Lower Shabelle,Alert,21.276,2023
Sablaale,19.581958333333333,08,Lower Shabelle,Alert,13.259,2023
Sablaale,15.461416666666667,09,Lower Shabelle,Normal,19.547,2023
Sablaale,89.34878260869566,10,Lower Shabelle,Normal,132.694,2023
Sablaale,82.45270833333333,11,Lower Shabelle,Normal,204.227,2023
Sablaale,14.252875,12,Lower Shabelle,Alarm,3.286,2023
Wanla Weyn,9.543625,03,Lower Shabelle,Normal,9.505,2022
Baraawe,30.089260869565216,10,Lower Shabelle,Alert,18.919,2022
Baraawe,12.575416666666667,09,Lower Shabelle,Alert,9.102,2022
Baraawe,29.813958333333332,08,Lower Shabelle,Normal,24.551,2022
Baraawe,41.404,07,Lower Shabelle,Normal,38.636,2022
Baraawe,56.80316666666667,06,Lower Shabelle,Alert,43.015,2022
Baraawe,82.99758333333334,05,Lower Shabelle,Normal,76.644,2022
Baraawe,77.72691666666667,04,Lower Shabelle,Normal,74.093,2022
Baraawe,4.326375,03,Lower Shabelle,Alert,2.423,2022
Baraawe,0.4036666666666667,02,Lower Shabelle,Normal,0.418,2022
Baraawe,0.425625,01,Lower Shabelle,Normal,0.513,2022
Waajid,4.6995,12,Bakool,Alarm,0.892,2022
Waajid,37.55629166666667,11,Bakool,Alarm,12.1,2022
Rab Dhuure,0.39666666666666667,01,Bakool,Normal,0.402,2022
Rab Dhuure,1.0575416666666666,02,Bakool,Normal,0.894,2022
Rab Dhuure,21.568791666666666,03,Bakool,Alert,15.589,2022
Rab Dhuure,153.72965217391305,04,Bakool,,,2022
Rab Dhuure,43.468041666666664,05,Bakool,Normal,37.145,2022
Rab Dhuure,1.73575,06,Bakool,Alert,1.017,2022
Rab Dhuure,3.337625,07,Bakool,Alert,1.698,2022
Rab Dhuure,2.42175,08,Bakool,Normal,2.572,2022
Rab Dhuure,7.202208333333333,09,Bakool,Normal,10.052,2022
Rab Dhuure,117.16321739130434,10,Bakool,Alert,62.684,2022
Rab Dhuure,27.19875,11,Bakool,Alarm,7.9,2022
Rab Dhuure,2.8389166666666665,12,Bakool,Alarm,0.447,2022
Waajid,145.3894347826087,10,Bakool,Alert,88.744,2022
Afgooye,1.3696666666666668,01,Lower Shabelle,Normal,1.533,2022
Waajid,10.525708333333334,09,Bakool,Normal,10.899,2022
Waajid,8.334416666666666,08,Bakool,Normal,8.663,2022
Waajid,11.089666666666666,07,Bakool,Normal,13.176,2022
Waajid,6.586,06,Bakool,Alert,5.191,2022
Waajid,47.83825,05,Bakool,Normal,50.442,2022
Waajid,150.52445833333334,04,Bakool,Alert,77.132,2022
Waajid,24.441541666666666,03,Bakool,Alert,19.46,2022
Waajid,1.0444583333333333,02,Bakool,Normal,0.85,2022
Xudur,103.61141666666667,04,Bakool,Alert,50.42,2022
Xudur,52.686458333333334,05,Bakool,Normal,42.409,2022
