region,district,value,month,indicator
Bakool,Xudur,123.174,2003-04-01,rainfall
Bakool,Ceel Barde,103.572,2003-04-01,rainfall
Bakool,Tayeeglow,115.845,2003-04-01,rainfall
Bakool,Waajid,194.867,2003-04-01,rainfall
Bakool,Rab Dhuure,184.739,2003-04-01,rainfall
Lower Shabelle,Marka,26.445,2003-05-01,rainfall
Lower Shabelle,Afgooye,39.413,2003-05-01,rainfall
Lower Shabelle,Baraawe,72.067,2003-05-01,rainfall
Lower Shabelle,Kurtunwaarey,47.003,2003-05-01,rainfall
Lower Shabelle,Qoryooley,55.183,2003-05-01,rainfall
Lower Shabelle,Sablaale,85.521,2003-05-01,rainfall
Lower Shabelle,Wanla Weyn,49.042,2003-05-01,rainfall
Bay,Baydhaba,61.77,2003-05-01,rainfall
Bay,Buur Hakaba,72.516,2003-05-01,rainfall
Bay,Diinsoor,76.639,2003-05-01,rainfall
Bay,Qansax Dheere,60.215,2003-05-01,rainfall
Bakool,Xudur,50.004,2003-05-01,rainfall
Bakool,Ceel Barde,55.072,2003-05-01,rainfall
Bakool,Tayeeglow,53.508,2003-05-01,rainfall
Bakool,Waajid,57.367,2003-05-01,rainfall
Bakool,Rab Dhuure,58.894,2003-05-01,rainfall
Lower Shabelle,Marka,74.338,2003-06-01,rainfall
Lower Shabelle,Afgooye,55.297,2003-06-01,rainfall
Lower Shabelle,Baraawe,103.897,2003-06-01,rainfall
Lower Shabelle,Kurtunwaarey,74.34,2003-06-01,rainfall
Lower Shabelle,Qoryooley,70.987,2003-06-01,rainfall
Lower Shabelle,Sablaale,75.446,2003-06-01,rainfall
Lower Shabelle,Wanla Weyn,24.147,2003-06-01,rainfall
Bay,Baydhaba,9.857,2003-06-01,rainfall
Bay,Buur Hakaba,30.686,2003-06-01,rainfall
Bay,Diinsoor,19.006,2003-06-01,rainfall
Bay,Qansax Dheere,5.473,2003-06-01,rainfall
Bakool,Xudur,2.014,2003-06-01,rainfall
Bakool,Ceel Barde,2.094,2003-06-01,rainfall
Bakool,Tayeeglow,8.801,2003-06-01,rainfall
Bakool,Waajid,5.33,2003-06-01,rainfall
Bakool,Rab Dhuure,1.227,2003-06-01,rainfall
Lower Shabelle,Marka,37.303,2003-07-01,rainfall
Lower Shabelle,Afgooye,29.865,2003-07-01,rainfall
Lower Shabelle,Baraawe,40.499,2003-07-01,rainfall
Lower Shabelle,Kurtunwaarey,37.91,2003-07-01,rainfall
Lower Shabelle,Qoryooley,33.894,2003-07-01,rainfall
Lower Shabelle,Sablaale,39.936,2003-07-01,rainfall
Lower Shabelle,Wanla Weyn,18.568,2003-07-01,rainfall
Bay,Baydhaba,21.253,2003-07-01,rainfall
Bay,Buur Hakaba,27.281,2003-07-01,rainfall
Bay,Diinsoor,23.451,2003-07-01,rainfall
Bay,Qansax Dheere,13.979,2003-07-01,rainfall
Bakool,Xudur,11.183,2003-07-01,rainfall
Bakool,Ceel Barde,9.459,2003-07-01,rainfall
Bakool,Tayeeglow,34.826,2003-07-01,rainfall
Bakool,Waajid,9.858,2003-07-01,rainfall
Bakool,Rab Dhuure,1.446,2003-07-01,rainfall
Lower Shabelle,Marka,27.87,2003-08-01,rainfall
Lower Shabelle,Afgooye,11.67,2003-08-01,rainfall
Lower Shabelle,Baraawe,28.505,2003-08-01,rainfall
Lower Shabelle,Kurtunwaarey,19.083,2003-08-01,rainfall
Lower Shabelle,Qoryooley,24.056,2003-08-01,rainfall
Lower Shabelle,Sablaale,18.805,2003-08-01,rainfall
Lower Shabelle,Wanla Weyn,5.045,2003-08-01,rainfall
Bay,Baydhaba,13.771,2003-08-01,rainfall
Bay,Buur Hakaba,14.131,2003-08-01,rainfall
Bay,Diinsoor,11.126,2003-08-01,rainfall
Bay,Qansax Dheere,8.112,2003-08-01,rainfall
Bakool,Xudur,8.174,2003-08-01,rainfall
Bakool,Ceel Barde,11.212,2003-08-01,rainfall
Bakool,Tayeeglow,16.909,2003-08-01,rainfall
Bakool,Waajid,7.254,2003-08-01,rainfall
Bakool,Rab Dhuure,2.366,2003-08-01,rainfall
Lower Shabelle,Marka,6.642,2003-09-01,rainfall
Lower Shabelle,Afgooye,6.294,2003-09-01,rainfall
Lower Shabelle,Baraawe,11.581,2003-09-01,rainfall
Lower Shabelle,Kurtunwaarey,9.958,2003-09-01,rainfall
Lower Shabelle,Qoryooley,7.608,2003-09-01,rainfall
Lower Shabelle,Sablaale,14.243,2003-09-01,rainfall
Lower Shabelle,Wanla Weyn,4.651,2003-09-01,rainfall
Bay,Baydhaba,5.742,2003-09-01,rainfall
Bay,Buur Hakaba,8.737,2003-09-01,rainfall
Bay,Diinsoor,9.057,2003-09-01,rainfall
Bay,Qansax Dheere,3.469,2003-09-01,rainfall
Bakool,Xudur,13.711,2003-09-01,rainfall
Bakool,Ceel Barde,8.477,2003-09-01,rainfall
Bakool,Tayeeglow,7.044,2003-09-01,rainfall
Bakool,Waajid,7.594,2003-09-01,rainfall
Bakool,Rab Dhuure,5.574,2003-09-01,rainfall
Lower Shabelle,Marka,10.821,2003-10-01,rainfall
Lower Shabelle,Afgooye,24.61,2003-10-01,rainfall
Lower Shabelle,Baraawe,17.676,2003-10-01,rainfall
Lower Shabelle,Kurtunwaarey,40.188,2003-10-01,rainfall
Lower Shabelle,Qoryooley,37.991,2003-10-01,rainfall
Lower Shabelle,Sablaale,60.158,2003-10-01,rainfall
Lower Shabelle,Wanla Weyn,29.612,2003-10-01,rainfall
Bay,Baydhaba,42.624,2003-10-01,rainfall
Bay,Buur Hakaba,34.074,2003-10-01,rainfall
Bay,Diinsoor,32.075,2003-10-01,rainfall
Bay,Qansax Dheere,42.128,2003-10-01,rainfall
Bakool,Xudur,32.164,2003-10-01,rainfall
Bakool,Ceel Barde,23.054,2003-10-01,rainfall
Bakool,Tayeeglow,18.417,2003-10-01,rainfall
Bakool,Waajid,41.525,2003-10-01,rainfall
Bakool,Rab Dhuure,28.525,2003-10-01,rainfall
Lower Shabelle,Marka,43.927,2003-11-01,rainfall
Lower Shabelle,Afgooye,76.163,2003-11-01,rainfall
Lower Shabelle,Baraawe,39.504,2003-11-01,rainfall
Lower Shabelle,Kurtunwaarey,65.767,2003-11-01,rainfall
Lower Shabelle,Qoryooley,63.108,2003-11-01,rainfall
Lower Shabelle,Sablaale,89.062,2003-11-01,rainfall
Lower Shabelle,Wanla Weyn,58.599,2003-11-01,rainfall
Bay,Baydhaba,60.009,2003-11-01,rainfall
Bay,Buur Hakaba,68.742,2003-11-01,rainfall
Bay,Diinsoor,110.316,2003-11-01,rainfall
Bay,Qansax Dheere,78.642,2003-11-01,rainfall
Bakool,Xudur,11.506,2003-11-01,rainfall
Bakool,Ceel Barde,13.653,2003-11-01,rainfall
Bakool,Tayeeglow,26.616,2003-11-01,rainfall
Bakool,Waajid,31.767,2003-11-01,rainfall
Bakool,Rab Dhuure,27.299,2003-11-01,rainfall
Lower Shabelle,Marka,13.588,2003-12-01,rainfall
Lower Shabelle,Afgooye,27.659,2003-12-01,rainfall
Lower Shabelle,Baraawe,11.397,2003-12-01,rainfall
Lower Shabelle,Kurtunwaarey,29.448,2003-12-01,rainfall
Lower Shabelle,Qoryooley,30.677,2003-12-01,rainfall
